variable,estimate,lci,uci,type,group,est_ci,gender
age,56.8,56.6,57,Continuous,NA,"56.8 (56.6, 57)",Total
sbp,127.8,127.4,128.2,Continuous,NA,"127.8 (127.4, 128.2)",Total
dbp,75.7,75.5,76,Continuous,NA,"75.7 (75.5, 76)",Total
height,158.9,158.8,159.1,Continuous,NA,"158.9 (158.8, 159.1)",Total
weight,60.5,60.1,60.8,Continuous,NA,"60.5 (60.1, 60.8)",Total
hhsampleweight,31572.8,27265.9,35879.8,Continuous,NA,"31572.8 (27265.9, 35879.8)",Total
bmi,23.8,23.7,23.9,Continuous,NA,"23.8 (23.7, 23.9)",Total
moderate_pa,0.3,0.3,0.4,Continuous,NA,"0.3 (0.3, 0.4)",Total
vigorous_pa,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",Total
hh_size,2,2,2,Continuous,NA,"2 (2, 2)",Total
hh_wealth,250053,204854.9,295251,Continuous,NA,"250053 (204854.9, 295251)",Total
hh_income,29004.3,27347.4,30661.1,Continuous,NA,"29004.3 (27347.4, 30661.1)",Total
hh_lengthmar,34.4,34.2,34.6,Continuous,NA,"34.4 (34.2, 34.6)",Total
diagnosed_bp,22.5,21.8,23.3,Proportion,NA,"22.5 (21.8, 23.3)",Total
medication_bp,17.3,16.7,17.9,Proportion,NA,"17.3 (16.7, 17.9)",Total
diagnosed_dm,5.7,5.3,6,Proportion,NA,"5.7 (5.3, 6)",Total
medication_dm,4,3.7,4.4,Proportion,NA,"4 (3.7, 4.4)",Total
heavydrinker,6.1,5.7,6.5,Proportion,NA,"6.1 (5.7, 6.5)",Total
retirement,12.5,11.8,13.2,Proportion,NA,"12.5 (11.8, 13.2)",Total
smokeever,41.3,40.4,42.2,Proportion,NA,"41.3 (40.4, 42.2)",Total
smokecurr,29.5,28.6,30.3,Proportion,NA,"29.5 (28.6, 30.3)",Total
alcohol,35.9,35,36.8,Proportion,NA,"35.9 (35, 36.8)",Total
lengthmar_ge10,98.6,98.4,98.8,Proportion,NA,"98.6 (98.4, 98.8)",Total
hh_lengthmar_ge10,98.6,98.3,98.8,Proportion,NA,"98.6 (98.3, 98.8)",Total
htn,53,52,53.9,Proportion,NA,"53 (52, 53.9)",Total
laborforce,2.3,2,2.6,Grouped,None,"2.3 (2, 2.6)",Total
laborforce,82.2,81.3,83,Grouped,Formal,"82.2 (81.3, 83)",Total
laborforce,15.6,14.7,16.4,Grouped,Retired,"15.6 (14.7, 16.4)",Total
laborforce,0,0,0,Grouped,NA,"0 (0, 0)",Total
smoke,58.7,57.8,59.6,Grouped,Never,"58.7 (57.8, 59.6)",Total
smoke,13,12.3,13.7,Grouped,Former,"13 (12.3, 13.7)",Total
smoke,28.3,27.5,29.1,Grouped,Current,"28.3 (27.5, 29.1)",Total
education_h,88.4,87.7,89,Grouped,Less than lower secondary,"88.4 (87.7, 89)",Total
education_h,1.8,1.5,2.1,Grouped,Tertiary,"1.8 (1.5, 2.1)",Total
education_h,9.8,9.3,10.4,Grouped,Upper secondary and vocational training,"9.8 (9.3, 10.4)",Total
education_h,0,0,0,Grouped,NA,"0 (0, 0)",Total
hh_incometertile,32.7,31.7,33.8,Grouped,Low,"32.7 (31.7, 33.8)",Total
hh_incometertile,33.8,32.6,34.9,Grouped,Medium,"33.8 (32.6, 34.9)",Total
hh_incometertile,33.5,32.4,34.6,Grouped,High,"33.5 (32.4, 34.6)",Total
hh_incometertile,0,0,0,Grouped,NA,"0 (0, 0)",Total
hh_wealthquintile,19.7,18.9,20.5,Grouped,Lowest,"19.7 (18.9, 20.5)",Total
hh_wealthquintile,19.6,18.8,20.4,Grouped,Low,"19.6 (18.8, 20.4)",Total
hh_wealthquintile,20.2,19.3,21,Grouped,Medium,"20.2 (19.3, 21)",Total
hh_wealthquintile,21.2,20.3,22.1,Grouped,High,"21.2 (20.3, 22.1)",Total
hh_wealthquintile,19.4,18.4,20.4,Grouped,Highest,"19.4 (18.4, 20.4)",Total
hh_wealthquintile,0,0,0,Grouped,NA,"0 (0, 0)",Total
age,55.7,55.4,55.9,Continuous,NA,"55.7 (55.4, 55.9)",female
sbp,126.7,126.1,127.3,Continuous,NA,"126.7 (126.1, 127.3)",female
dbp,74.9,74.5,75.2,Continuous,NA,"74.9 (74.5, 75.2)",female
height,153.4,153.2,153.6,Continuous,NA,"153.4 (153.2, 153.6)",female
weight,57.3,56.9,57.7,Continuous,NA,"57.3 (56.9, 57.7)",female
hhsampleweight,NA,NA,NA,Continuous,NA,"NaN (NaN, NaN)",female
